日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2000-1-4,'000001,深发展Ａ,18.29,18.55,17.2,17.5,17.45,0.84,4.8138,8216086
2000-1-5,'000001,深发展Ａ,18.06,18.85,18,18.35,18.29,-0.23,-1.2575,9399315
2000-1-6,'000001,深发展Ａ,18.78,19.05,17.75,18.02,18.06,0.72,3.9867,12022209
2000-1-7,'000001,深发展Ａ,19.54,19.77,18.9,19,18.78,0.76,4.0469,22934633
2000-1-10,'000001,深发展Ａ,20.14,20.48,19.77,19.79,19.54,0.6,3.0706,18521078
2000-1-11,'000001,深发展Ａ,19,20.2,18.8,20.15,20.14,-1.14,-5.6604,12666326
2000-1-12,'000001,深发展Ａ,18.24,19.2,18.13,19,19,-0.76,-4,9175299
2000-1-13,'000001,深发展Ａ,18.14,18.4,17.9,18.2,18.24,-0.1,-0.5482,5005862
2000-1-14,'000001,深发展Ａ,17.88,18.39,17.75,18.14,18.14,-0.26,-1.4333,5597279
2000-1-17,'000001,深发展Ａ,18.08,18.1,17.5,17.9,17.88,0.2,1.1186,3450108
2000-1-18,'000001,深发展Ａ,17.69,18.08,17.58,18,18.08,-0.39,-2.1571,4656368
2000-1-19,'000001,深发展Ａ,17.79,17.85,17.5,17.5,17.69,0.1,0.5653,3781134
2000-1-20,'000001,深发展Ａ,17.81,17.9,17.55,17.8,17.79,0.02,0.1124,5843772
2000-1-21,'000001,深发展Ａ,17.96,18.26,17.66,17.8,17.81,0.15,0.8422,8626246
2000-1-24,'000001,深发展Ａ,17.5,17.95,17.2,17.91,17.96,-0.46,-2.5612,11251690
2000-1-25,'000001,深发展Ａ,17.72,18.29,17.5,17.5,17.5,0.22,1.2571,8371897
2000-1-26,'000001,深发展Ａ,17.64,17.88,17.5,17.72,17.72,-0.08,-0.4515,4772385
2000-1-27,'000001,深发展Ａ,17.89,18.17,17.55,17.65,17.64,0.25,1.4172,7323843
2000-1-28,'000001,深发展Ａ,18.53,18.58,17.66,18,17.89,0.64,3.5774,16736658
2000-2-14,'000001,深发展Ａ,20.37,20.38,18.7,19.2,18.53,1.84,9.9298,23370965
2000-2-15,'000001,深发展Ａ,19.44,21.01,19.1,20.5,20.37,-0.93,-4.5655,35073206
2000-2-16,'000001,深发展Ａ,18.83,19.3,18.56,19.3,19.44,-0.61,-3.1379,21539263
2000-2-17,'000001,深发展Ａ,18.8,19.69,18.23,18.83,18.83,-0.03,-0.1593,35884195
2000-2-18,'000001,深发展Ａ,18.41,18.79,18.15,18.79,18.8,-0.39,-2.0745,13929384
2000-2-21,'000001,深发展Ａ,18.91,19.5,18,18.41,18.41,0.5,2.7159,23791673
2000-2-22,'000001,深发展Ａ,18.25,19.25,18.2,19,18.91,-0.66,-3.4902,12488837
2000-2-23,'000001,深发展Ａ,18.1,18.58,18,18.2,18.25,-0.15,-0.8219,8817604
2000-2-24,'000001,深发展Ａ,18.18,18.3,18,18.05,18.1,0.08,0.442,6333871
2000-2-25,'000001,深发展Ａ,18.09,18.2,18,18.18,18.18,-0.09,-0.495,9762483
2000-2-28,'000001,深发展Ａ,18.56,18.78,17.8,18.1,18.09,0.47,2.5981,15435800
2000-2-29,'000001,深发展Ａ,18.32,18.99,18.05,18.6,18.56,-0.24,-1.2931,14389538
2000-3-1,'000001,深发展Ａ,18.81,19.5,18.15,18.4,18.32,0.49,2.6747,30241414
2000-3-2,'000001,深发展Ａ,18.36,18.76,18.2,18.7,18.81,-0.45,-2.3923,11886044
2000-3-3,'000001,深发展Ａ,18.58,18.9,18.37,18.41,18.36,0.22,1.1983,12072701
2000-3-6,'000001,深发展Ａ,18.24,19.4,18.2,18.8,18.58,-0.34,-1.8299,18009755
2000-3-7,'000001,深发展Ａ,19.03,19.3,18,18,18.24,0.79,4.3311,27755497
2000-3-8,'000001,深发展Ａ,18.72,19.19,18.51,19.07,19.03,-0.31,-1.629,10835493
